opportunity_id,program,sponsor,faculty_id,faculty_name,score,fit_level,matched_keyword_count,matched_keywords,rationale
opp-nist-chips-crdo-baa-2026,CHIPS Research and Development Office Broad Agency Announcement,National Institute of Standards and Technology,fac-min-zou,Min Zou,0.25,promising,2,manufacturing; materials,"Min Zou matches CHIPS Research and Development Office Broad Agency Announcement through shared terms: manufacturing, materials."
opp-nist-chips-crdo-baa-2026,CHIPS Research and Development Office Broad Agency Announcement,National Institute of Standards and Technology,fac-wenchao-zhou,Wenchao Zhou,0.25,promising,2,manufacturing; materials,"Wenchao Zhou matches CHIPS Research and Development Office Broad Agency Announcement through shared terms: manufacturing, materials."
opp-nist-chips-crdo-baa-2026,CHIPS Research and Development Office Broad Agency Announcement,National Institute of Standards and Technology,fac-han-hu,Han Hu,0.125,exploratory,1,thermal management,Han Hu matches CHIPS Research and Development Office Broad Agency Announcement through shared terms: thermal management.
opp-nist-chips-crdo-baa-2026,CHIPS Research and Development Office Broad Agency Announcement,National Institute of Standards and Technology,fac-wan-shou,Wan Shou,0.125,exploratory,1,manufacturing,Wan Shou matches CHIPS Research and Development Office Broad Agency Announcement through shared terms: manufacturing.
opp-nist-chips-crdo-baa-2026,CHIPS Research and Development Office Broad Agency Announcement,National Institute of Standards and Technology,fac-xiangbo-meng,Xiangbo Meng,0.125,exploratory,1,semiconductors,Xiangbo Meng matches CHIPS Research and Development Office Broad Agency Announcement through shared terms: semiconductors.
opp-nsf-ai-datasets-2026,Unlocking the Potential of Data for AI-Enabled Scientific Discovery,National Science Foundation,fac-han-hu,Han Hu,0.25,promising,2,diagnostics; thermal management,"Han Hu matches Unlocking the Potential of Data for AI-Enabled Scientific Discovery through shared terms: diagnostics, thermal management."
opp-nsf-ai-datasets-2026,Unlocking the Potential of Data for AI-Enabled Scientific Discovery,National Science Foundation,fac-anthony-gunderman,Anthony Gunderman,0.125,exploratory,1,sensing,Anthony Gunderman matches Unlocking the Potential of Data for AI-Enabled Scientific Discovery through shared terms: sensing.
opp-nsf-ai-datasets-2026,Unlocking the Potential of Data for AI-Enabled Scientific Discovery,National Science Foundation,fac-neelakshi-majumdar,Neelakshi Majumdar,0.125,exploratory,1,sensing,Neelakshi Majumdar matches Unlocking the Potential of Data for AI-Enabled Scientific Discovery through shared terms: sensing.
opp-nsf-epscor-planning-2026,EPSCoR E-RISE and E-CORE Planning Proposals,National Science Foundation,fac-darin-nutter,Darin Nutter,0.125,exploratory,1,energy systems,Darin Nutter matches EPSCoR E-RISE and E-CORE Planning Proposals through shared terms: energy systems.
opp-nsf-epscor-planning-2026,EPSCoR E-RISE and E-CORE Planning Proposals,National Science Foundation,fac-david-huitink,David Huitink,0.125,exploratory,1,advanced manufacturing,David Huitink matches EPSCoR E-RISE and E-CORE Planning Proposals through shared terms: advanced manufacturing.
opp-nsf-epscor-planning-2026,EPSCoR E-RISE and E-CORE Planning Proposals,National Science Foundation,fac-han-hu,Han Hu,0.125,exploratory,1,energy systems,Han Hu matches EPSCoR E-RISE and E-CORE Planning Proposals through shared terms: energy systems.
opp-nsf-epscor-planning-2026,EPSCoR E-RISE and E-CORE Planning Proposals,National Science Foundation,fac-wan-shou,Wan Shou,0.125,exploratory,1,advanced manufacturing,Wan Shou matches EPSCoR E-RISE and E-CORE Planning Proposals through shared terms: advanced manufacturing.
opp-nsf-epscor-planning-2026,EPSCoR E-RISE and E-CORE Planning Proposals,National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.125,exploratory,1,advanced manufacturing,Wenchao Zhou matches EPSCoR E-RISE and E-CORE Planning Proposals through shared terms: advanced manufacturing.
opp-nsf-fluid-dynamics-2026,Fluid Dynamics,National Science Foundation,fac-han-hu,Han Hu,0.375,promising,3,flow diagnostics; multiphase flow; thermal fluids,"Han Hu matches Fluid Dynamics through shared terms: flow diagnostics, multiphase flow, thermal fluids."
opp-nsf-fluid-dynamics-2026,Fluid Dynamics,National Science Foundation,fac-anthony-gunderman,Anthony Gunderman,0.125,exploratory,1,sensing,Anthony Gunderman matches Fluid Dynamics through shared terms: sensing.
opp-nsf-fluid-dynamics-2026,Fluid Dynamics,National Science Foundation,fac-neelakshi-majumdar,Neelakshi Majumdar,0.125,exploratory,1,sensing,Neelakshi Majumdar matches Fluid Dynamics through shared terms: sensing.
opp-nsf-fluid-dynamics-2026,Fluid Dynamics,National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.125,exploratory,1,modeling,Wenchao Zhou matches Fluid Dynamics through shared terms: modeling.
opp-nsf-sbir-sttr-2026,NSF SBIR/STTR Phase I,National Science Foundation,fac-han-hu,Han Hu,0.286,promising,2,energy systems; thermal management,"Han Hu matches NSF SBIR/STTR Phase I through shared terms: energy systems, thermal management."
opp-nsf-sbir-sttr-2026,NSF SBIR/STTR Phase I,National Science Foundation,fac-darin-nutter,Darin Nutter,0.143,exploratory,1,energy systems,Darin Nutter matches NSF SBIR/STTR Phase I through shared terms: energy systems.
opp-nsf-sbir-sttr-2026,NSF SBIR/STTR Phase I,National Science Foundation,fac-david-huitink,David Huitink,0.143,exploratory,1,advanced manufacturing,David Huitink matches NSF SBIR/STTR Phase I through shared terms: advanced manufacturing.
opp-nsf-sbir-sttr-2026,NSF SBIR/STTR Phase I,National Science Foundation,fac-wan-shou,Wan Shou,0.143,exploratory,1,advanced manufacturing,Wan Shou matches NSF SBIR/STTR Phase I through shared terms: advanced manufacturing.
opp-nsf-sbir-sttr-2026,NSF SBIR/STTR Phase I,National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.143,exploratory,1,advanced manufacturing,Wenchao Zhou matches NSF SBIR/STTR Phase I through shared terms: advanced manufacturing.
opp-nsf-thermal-transport-2026,Thermal Transport Processes,National Science Foundation,fac-han-hu,Han Hu,0.375,promising,3,energy systems; heat transfer; thermal management,"Han Hu matches Thermal Transport Processes through shared terms: energy systems, heat transfer, thermal management."
opp-nsf-thermal-transport-2026,Thermal Transport Processes,National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.25,promising,2,materials; modeling,"Wenchao Zhou matches Thermal Transport Processes through shared terms: materials, modeling."
opp-nsf-thermal-transport-2026,Thermal Transport Processes,National Science Foundation,fac-darin-nutter,Darin Nutter,0.125,exploratory,1,energy systems,Darin Nutter matches Thermal Transport Processes through shared terms: energy systems.
opp-nsf-thermal-transport-2026,Thermal Transport Processes,National Science Foundation,fac-david-huitink,David Huitink,0.125,exploratory,1,materials,David Huitink matches Thermal Transport Processes through shared terms: materials.
opp-nsf-thermal-transport-2026,Thermal Transport Processes,National Science Foundation,fac-min-zou,Min Zou,0.125,exploratory,1,materials,Min Zou matches Thermal Transport Processes through shared terms: materials.
opp-nsf-transport-phenomena-2026,Transport Phenomena,National Science Foundation,fac-han-hu,Han Hu,0.5,strong,4,energy systems; heat transfer; multiphase flow; thermal management,"Han Hu matches Transport Phenomena through shared terms: energy systems, heat transfer, multiphase flow, thermal management."
opp-nsf-transport-phenomena-2026,Transport Phenomena,National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.25,promising,2,manufacturing; modeling,"Wenchao Zhou matches Transport Phenomena through shared terms: manufacturing, modeling."
opp-nsf-transport-phenomena-2026,Transport Phenomena,National Science Foundation,fac-darin-nutter,Darin Nutter,0.125,exploratory,1,energy systems,Darin Nutter matches Transport Phenomena through shared terms: energy systems.
opp-nsf-transport-phenomena-2026,Transport Phenomena,National Science Foundation,fac-david-huitink,David Huitink,0.125,exploratory,1,manufacturing,David Huitink matches Transport Phenomena through shared terms: manufacturing.
opp-nsf-transport-phenomena-2026,Transport Phenomena,National Science Foundation,fac-min-zou,Min Zou,0.125,exploratory,1,manufacturing,Min Zou matches Transport Phenomena through shared terms: manufacturing.
opp-nsf-transport-phenomena-2026,Transport Phenomena,National Science Foundation,fac-wan-shou,Wan Shou,0.125,exploratory,1,manufacturing,Wan Shou matches Transport Phenomena through shared terms: manufacturing.
opp-samsung-gro-2026,Samsung Global Research Outreach 2026,Samsung Electronics,fac-han-hu,Han Hu,0.286,promising,2,heat transfer; thermal management,"Han Hu matches Samsung Global Research Outreach 2026 through shared terms: heat transfer, thermal management."
opp-samsung-gro-2026,Samsung Global Research Outreach 2026,Samsung Electronics,fac-david-huitink,David Huitink,0.143,exploratory,1,advanced materials,David Huitink matches Samsung Global Research Outreach 2026 through shared terms: advanced materials.
opp-samsung-gro-2026,Samsung Global Research Outreach 2026,Samsung Electronics,fac-min-zou,Min Zou,0.143,exploratory,1,advanced materials,Min Zou matches Samsung Global Research Outreach 2026 through shared terms: advanced materials.
opp-samsung-gro-2026,Samsung Global Research Outreach 2026,Samsung Electronics,fac-xiangbo-meng,Xiangbo Meng,0.143,exploratory,1,advanced materials,Xiangbo Meng matches Samsung Global Research Outreach 2026 through shared terms: advanced materials.
